ExpNum|Class|Method|Contract number|Contract kind|Closed?-MoreSeqRulesOn|Nodes-MoreSeqRulesOn|Closed?-MoreSeqRulesOff|Nodes-MoreSeqRulesOff
09|java.util.ArrayList|size()|1|N|x|62|x|62
10|java.util.ArrayList|size()|0|N||91||91
10|java.util.ArrayList|size()|1|N||85||85
11|java.util.ArrayList|size()|0|N||76||76
11|java.util.ArrayList|size()|1|N||77||77
12|java.util.ArrayList|size()|0|N||78||78
12|java.util.ArrayList|size()|1|N||82||82
13|java.util.ArrayList|size()|0|N|x|44|x|44
13|java.util.ArrayList|size()|1|N|x|71|x|71
14|java.util.ArrayList|size()|0|N|x|80|x|80
14|java.util.ArrayList|size()|1|N||102||102
15|java.util.ArrayList|size()|0|N|x|80|x|80
15|java.util.ArrayList|size()|1|N|x|112|x|112
18|java.util.ArrayList|size()|0|N|x|89|x|89
18|java.util.ArrayList|size()|1|N|x|104|x|104
01|java.util.ArrayList|trimToSize()|0|N||222||222
02|java.util.ArrayList|trimToSize()|0|N||1340||1340
03|java.util.ArrayList|trimToSize()|0|N||2373||2373
06|java.util.ArrayList|trimToSize()|0|N||388||388
08|java.util.ArrayList|trimToSize()|0|N|x|1672|x|1672
10|java.util.ArrayList|trimToSize()|0|N||1692||1692
11|java.util.ArrayList|trimToSize()|0|N||1353||1353
12|java.util.ArrayList|trimToSize()|0|N||350||350
13|java.util.ArrayList|trimToSize()|0|N||682||682
14|java.util.ArrayList|trimToSize()|0|N||408||408
15|java.util.ArrayList|trimToSize()|0|N|x|2159|x|2159
18|java.util.ArrayList|trimToSize()|0|N||1452||1452
