ExpNum|Class|Method|Contract number|Contract kind|Closed?-IntegerSimplificationRulesFull|Nodes-IntegerSimplificationRulesFull|Closed?-IntegerSimplificationRulesMinimal|Nodes-IntegerSimplificationRulesMinimal
16|java.util.ArrayList|size()|1|N|x|103|x|103
17|java.util.ArrayList|size()|0|N||110||90
17|java.util.ArrayList|size()|1|N||94||101
18|java.util.ArrayList|size()|0|N||91||81
18|java.util.ArrayList|size()|1|N||85||92
01|java.util.ArrayList|trimToSize()|0|N||222||222
02|java.util.ArrayList|trimToSize()|0|N||1340||1219
03|java.util.ArrayList|trimToSize()|0|N||2373||2029
06|java.util.ArrayList|trimToSize()|0|N||1429||1348
09|java.util.ArrayList|trimToSize()|0|N||1624||1640
11|java.util.ArrayList|trimToSize()|0|N||1191||1204
12|java.util.ArrayList|trimToSize()|0|N||374||374
13|java.util.ArrayList|trimToSize()|0|N|x|920||260
14|java.util.ArrayList|trimToSize()|0|N||1536||1378
15|java.util.ArrayList|trimToSize()|0|N||1417||1260
17|java.util.ArrayList|trimToSize()|0|N||2373||2131
18|java.util.ArrayList|trimToSize()|0|N||1817||1881
